rmm_tool,rmm_binary,rmm_domain
AnyDesk,anydesk*.exe,*.net.anydesk.com
ASG Remote Desktop,asgrd*.exe,
Atera,ateraagent*.exe,agent-api.atera.com
Atera,ateraagent*.exe,agent-api-v2.atera.com
Atera,ateraagent*.exe,agenthb.atera.com
Atera,ateraagent*.exe,app.atera.com
Atera,ateraagent*.exe,appcdn.atåera.com
Atera,ateraagent*.exe,ps.atera.com
Atera,ateraagent*.exe,pubsub.atera.com
Atera,ateraagent*.exe,dotnetcli.azureedge.net
Atera,ateraagent*.exe,builds.dotnet.microsoft.com
Atera,ateraagent*.exe,download.visualstudio.microsoft.com
Atera,ateraagent*.exe,ps.pndsn.com
Atera,ateraagent*.exe,pubsub.pubnub.com
Atera,ateraagent*.exe,atera.pubnubapi.com
Atera,ateraagent*.exe,agentreportingstore.blob.core.windows.net
Atera,ateraagent*.exe,agentspoliciesprod.blob.core.windows.net
Atera,ateraagent*.exe,packagesstore.blob.core.windows.net
Atera,ateraagent*.exe,ticketingitemsstoreeu.blob.core.windows.net
Atera,ateraagent*.exe,atera-agent-heartbeat-cus.servicebus.windows.net
Atera,ateraagent*.exe,atera-agent-heartbeat.servicebus.windows.net
Atera,ateraagent*.exe,cacerts.thawte.com
Atera,ateraagent*.exe,*.cloudfront.net
Atera,ateraagent*.exe,automationtasks.blob.core.windows.net
Atera,ateraagent*.exe,dot.net
Atera,ateraagent*.exe,ci.dot.net
Atera,agentpackage*.exe,agent-api.atera.com
Atera,agentpackage*.exe,agent-api-v2.atera.com
Atera,agentpackage*.exe,agenthb.atera.com
Atera,agentpackage*.exe,app.atera.com
Atera,agentpackage*.exe,appcdn.atera.com
Atera,agentpackage*.exe,ps.atera.com
Atera,agentpackage*.exe,pubsub.atera.com
Atera,agentpackage*.exe,dotnetcli.azureedge.net
Atera,agentpackage*.exe,builds.dotnet.microsoft.com
Atera,agentpackage*.exe,download.visualstudio.microsoft.com
Atera,agentpackage*.exe,ps.pndsn.com
Atera,agentpackage*.exe,pubsub.pubnub.com
Atera,agentpackage*.exe,atera.pubnubapi.com
Atera,agentpackage*.exe,agentreportingstore.blob.core.windows.net
Atera,agentpackage*.exe,agentspoliciesprod.blob.core.windows.net
Atera,agentpackage*.exe,packagesstore.blob.core.windows.net
Atera,agentpackage*.exe,ticketingitemsstoreeu.blob.core.windows.net
Atera,agentpackage*.exe,atera-agent-heartbeat-cus.servicebus.windows.net
Atera,agentpackage*.exe,atera-agent-heartbeat.servicebus.windows.net
Atera,agentpackage*.exe,cacerts.thawte.com
Atera,agentpackage*.exe,*.cloudfront.net
Atera,agentpackage*.exe,automationtasks.blob.core.windows.net
Atera,agentpackage*.exe,dot.net
Atera,agentpackage*.exe,ci.dot.net
Atera,ateraagent.app,agent-api.atera.com
Atera,ateraagent.app,agent-api-v2.atera.com
Atera,ateraagent.app,agenthb.atera.com
Atera,ateraagent.app,app.atera.com
Atera,ateraagent.app,appcdn.atera.com
Atera,ateraagent.app,ps.atera.com
Atera,ateraagent.app,pubsub.atera.com
Atera,ateraagent.app,dotnetcli.azureedge.net
Atera,ateraagent.app,builds.dotnet.microsoft.com
Atera,ateraagent.app,download.visualstudio.microsoft.com
Atera,ateraagent.app,ps.pndsn.com
Atera,ateraagent.app,pubsub.pubnub.com
Atera,ateraagent.app,atera.pubnubapi.com
Atera,ateraagent.app,agentreportingstore.blob.core.windows.net
Atera,ateraagent.app,agentspoliciesprod.blob.core.windows.net
Atera,ateraagent.app,packagesstore.blob.core.windows.net
Atera,ateraagent.app,ticketingitemsstoreeu.blob.core.windows.net
Atera,ateraagent.app,atera-agent-heartbeat-cus.servicebus.windows.net
Atera,ateraagent.app,atera-agent-heartbeat.servicebus.windows.net
Atera,ateraagent.app,cacerts.thawte.com
Atera,ateraagent.app,*.cloudfront.net
Atera,ateraagent.app,automationtasks.blob.core.windows.net
Atera,ateraagent.app,dot.net
Atera,ateraagent.app,ci.dot.net
DWService,dwagent.exe,*.dwservice.net
FixMe.It,fixmeit*.exe,fixme.it
FixMe.It,fixmeit*.exe,*.techinline.net
FleetDeck,fleetdeck-agent*.exe,*.fleetdeck.io
FleetDeck,fleetdeck-agent*.exe,cognito-idp.us-west-2.amazonaws.com
FleetDeck,fleetdeck-agent*.msi,*.fleetdeck.io
FleetDeck,fleetdeck-agent*.msi,cognito-idp.us-west-2.amazonaws.com
FleetDeck,fleetdeck.exe,*.fleetdeck.io
FleetDeck,fleetdeck.exe,cognito-idp.us-west-2.amazonaws.com
FleetDeck,fleetdeck_agent*.exe,*.fleetdeck.io
FleetDeck,fleetdeck_agent*.exe,cognito-idp.us-west-2.amazonaws.com
Getscreen.me,getscreen*.exe,*.getscreen.me
GoToMyPC,g2*.exe,*.gotomypc.com
GoToMyPC,g2*.exe,*.getgo.com
GoToMyPC,g2*.exe,*.getgoservices.com
GoToMyPC,g2*.exe,*.getgoservices.net
GoToMyPC,g2*.exe,*.getgocdn.com
GoToMyPC,g2*.exe,*.goto-rtc.com
GoToMyPC,g2*.exe,*.accounts.logme.in
GoToMyPC,g2*.exe,*.internap.net
GoToMyPC,g2*.exe,*.internapcdn.net
GoToMyPC,g2*.exe,*.measurement-lab.org
GoToResolve,gotoresolve*.exe,*.gotomypc.com
GoToResolve,gotoresolve*.exe,*.getgo.com
GoToResolve,gotoresolve*.exe,*.getgoservices.com
GoToResolve,gotoresolve*.exe,*.getgoservices.net
GoToResolve,gotoresolve*.exe,*.getgocdn.com
GoToResolve,gotoresolve*.exe,*.goto-rtc.com
GoToResolve,gotoresolve*.exe,*.accounts.logme.in
GoToResolve,gotoresolve*.exe,*.internap.net
GoToResolve,gotoresolve*.exe,*.internapcdn.net
GoToResolve,gotoresolve*.exe,*.measurement-lab.org
GotoResolve,goto.resolve*.exe,*.gotomypc.com
GotoResolve,goto.resolve*.exe,*.getgo.com
GotoResolve,goto.resolve*.exe,*.getgoservices.com
GotoResolve,goto.resolve*.exe,*.getgoservices.net
GotoResolve,goto.resolve*.exe,*.getgocdn.com
GotoResolve,goto.resolve*.exe,*.goto-rtc.com
GotoResolve,goto.resolve*.exe,*.accounts.logme.in
GotoResolve,goto.resolve*.exe,*.internap.net
GotoResolve,goto.resolve*.exe,*.internapcdn.net
GotoResolve,goto.resolve*.exe,*.measurement-lab.org
Itarian Endpoint Manager,itarian*,*.comodo.com
Itarian Endpoint Manager,itarian*,*.comodormm.com
Level.io,level*.exe,agents.level.io
Level.io,level*.exe,online.level.io
Level.io,level*.exe,builds.level.io
Level.io,level*.exe,downloads.level.io
Level.io,level*.exe,realtime.ably.io
Level.io,level*.exe,prd-level-storage.s3.wasabisys.com
Level.io,level*.exe,global.turn.twilio.com
Level.io,level*.exe,global.stun.twilio.com
LogMeIn,lmi*.exe,*.LogMeIn123.com
LogMeIn,lmi*.exe,*.123rescue.com
LogMeIn,lmi*.exe,*.support.me
LogMeIn,lmi*.exe,*.logmeinrescue.com
LogMeIn,lmi*.exe,*.logmeinrescue.eu
LogMeIn,lmi*.exe,*.logmeinrescue-enterprise.com
LogMeIn,lmi*.exe,*.logmein-gateway.com
LogMeIn,logmein*.exe,*.LogMeIn123.com
LogMeIn,logmein*.exe,*.123rescue.com
LogMeIn,logmein*.exe,*.support.me
LogMeIn,logmein*.exe,*.logmeinrescue.com
LogMeIn,logmein*.exe,*.logmeinrescue.eu
LogMeIn,logmein*.exe,*.logmeinrescue-enterprise.com
LogMeIn,logmein*.exe,*.logmein-gateway.com
ManageEngine,dcagent*.exe,patchdb.manageengine.com
ManageEngine,dcagent*.exe,updates.manageengine.com
ManageEngine,dcagent*.exe,updates-us.manageengine.com
ManageEngine,dcagent*.exe,creator.zoho.com
ManageEngine,dcagent*.exe,bonitas.zohocorp.com
ManageEngine,dcagent*.exe,bonitas.zohocorp.eu
MeshCentral,meshagent*,
N-Able,bamanagement*.exe,*.sentinelone.net
N-Able,bamanagement*.exe,sis.n-able.com
N-Able,bamanagement*.exe,keybox.solarwindsmsp.com
N-Able,bamanagement*.exe,app.pendo.io
N-Able,bamanagement*.exe,cdn.pendo.io
N-Able,bamanagement*.exe,data.pendo.io
N-Able,bamanagement*.exe,pendo-io-static.storage.googleapis.com
N-Able,bamanagement*.exe,pendo-static*.storage.googleapis.com
N-Able,bamanagement*.exe,us.prd.relay.system-monitor.com
N-Able,bamanagement*.exe,eu-w.prd.relay.system-monitor.com
N-Able,bamanagement*.exe,eu-c.prd.relay.system-monitor.com
N-Able,bamanagement*.exe,ap.prd.relay.system-monitor.com
N-Able,bamanagement*.exe,stream.launchdarkly.com
N-Able,bamanagement*.exe,sdk.launchdarkly.com
N-Able,bamanagement*.exe,app.launchdarkly.com
N-Able,bamanagement*.exe,events.launchdarkly.com
N-Able,baconsoleapp*.exe,*.sentinelone.net
N-Able,baconsoleapp*.exe,sis.n-able.com
N-Able,baconsoleapp*.exe,keybox.solarwindsmsp.com
N-Able,baconsoleapp*.exe,app.pendo.io
N-Able,baconsoleapp*.exe,cdn.pendo.io
N-Able,baconsoleapp*.exe,data.pendo.io
N-Able,baconsoleapp*.exe,pendo-io-static.storage.googleapis.com
N-Able,baconsoleapp*.exe,pendo-static*.storage.googleapis.com
N-Able,baconsoleapp*.exe,us.prd.relay.system-monitor.com
N-Able,baconsoleapp*.exe,eu-w.prd.relay.system-monitor.com
N-Able,baconsoleapp*.exe,eu-c.prd.relay.system-monitor.com
N-Able,baconsoleapp*.exe,ap.prd.relay.system-monitor.com
N-Able,baconsoleapp*.exe,stream.launchdarkly.com
N-Able,baconsoleapp*.exe,sdk.launchdarkly.com
N-Able,baconsoleapp*.exe,app.launchdarkly.com
N-Able,baconsoleapp*.exe,events.launchdarkly.com
N-Able,basup*.exe,*.sentinelone.net
N-Able,basup*.exe,sis.n-able.com
N-Able,basup*.exe,keybox.solarwindsmsp.com
N-Able,basup*.exe,app.pendo.io
N-Able,basup*.exe,cdn.pendo.io
N-Able,basup*.exe,data.pendo.io
N-Able,basup*.exe,pendo-io-static.storage.googleapis.com
N-Able,basup*.exe,pendo-static*.storage.googleapis.com
N-Able,basup*.exe,us.prd.relay.system-monitor.com
N-Able,basup*.exe,eu-w.prd.relay.system-monitor.com
N-Able,basup*.exe,eu-c.prd.relay.system-monitor.com
N-Able,basup*.exe,ap.prd.relay.system-monitor.com
N-Able,basup*.exe,stream.launchdarkly.com
N-Able,basup*.exe,sdk.launchdarkly.com
N-Able,basup*.exe,app.launchdarkly.com
N-Able,basup*.exe,events.launchdarkly.com
N-Able,baseclient*.exe,*.sentinelone.net
N-Able,baseclient*.exe,sis.n-able.com
N-Able,baseclient*.exe,keybox.solarwindsmsp.com
N-Able,baseclient*.exe,app.pendo.io
N-Able,baseclient*.exe,cdn.pendo.io
N-Able,baseclient*.exe,data.pendo.io
N-Able,baseclient*.exe,pendo-io-static.storage.googleapis.com
N-Able,baseclient*.exe,pendo-static*.storage.googleapis.com
N-Able,baseclient*.exe,us.prd.relay.system-monitor.com
N-Able,baseclient*.exe,eu-w.prd.relay.system-monitor.com
N-Able,baseclient*.exe,eu-c.prd.relay.system-monitor.com
N-Able,baseclient*.exe,ap.prd.relay.system-monitor.com
N-Able,baseclient*.exe,stream.launchdarkly.com
N-Able,baseclient*.exe,sdk.launchdarkly.com
N-Able,baseclient*.exe,app.launchdarkly.com
N-Able,baseclient*.exe,events.launchdarkly.com
N-Able,takecontroltechconsole*.exe,*.sentinelone.net
N-Able,takecontroltechconsole*.exe,sis.n-able.com
N-Able,takecontroltechconsole*.exe,keybox.solarwindsmsp.com
N-Able,takecontroltechconsole*.exe,app.pendo.io
N-Able,takecontroltechconsole*.exe,cdn.pendo.io
N-Able,takecontroltechconsole*.exe,data.pendo.io
N-Able,takecontroltechconsole*.exe,pendo-io-static.storage.googleapis.com
N-Able,takecontroltechconsole*.exe,pendo-static*.storage.googleapis.com
N-Able,takecontroltechconsole*.exe,us.prd.relay.system-monitor.com
N-Able,takecontroltechconsole*.exe,eu-w.prd.relay.system-monitor.com
N-Able,takecontroltechconsole*.exe,eu-c.prd.relay.system-monitor.com
N-Able,takecontroltechconsole*.exe,ap.prd.relay.system-monitor.com
N-Able,takecontroltechconsole*.exe,stream.launchdarkly.com
N-Able,takecontroltechconsole*.exe,sdk.launchdarkly.com
N-Able,takecontroltechconsole*.exe,app.launchdarkly.com
N-Able,takecontroltechconsole*.exe,events.launchdarkly.com
N-Able,nable*.exe,*.sentinelone.net
N-Able,nable*.exe,sis.n-able.com
N-Able,nable*.exe,keybox.solarwindsmsp.com
N-Able,nable*.exe,app.pendo.io
N-Able,nable*.exe,cdn.pendo.io
N-Able,nable*.exe,data.pendo.io
N-Able,nable*.exe,pendo-io-static.storage.googleapis.com
N-Able,nable*.exe,pendo-static*.storage.googleapis.com
N-Able,nable*.exe,us.prd.relay.system-monitor.com
N-Able,nable*.exe,eu-w.prd.relay.system-monitor.com
N-Able,nable*.exe,eu-c.prd.relay.system-monitor.com
N-Able,nable*.exe,ap.prd.relay.system-monitor.com
N-Able,nable*.exe,stream.launchdarkly.com
N-Able,nable*.exe,sdk.launchdarkly.com
N-Able,nable*.exe,app.launchdarkly.com
N-Able,nable*.exe,events.launchdarkly.com
N-Able,pme.agent.exe,*.sentinelone.net
N-Able,pme.agent.exe,sis.n-able.com
N-Able,pme.agent.exe,keybox.solarwindsmsp.com
N-Able,pme.agent.exe,app.pendo.io
N-Able,pme.agent.exe,cdn.pendo.io
N-Able,pme.agent.exe,data.pendo.io
N-Able,pme.agent.exe,pendo-io-static.storage.googleapis.com
N-Able,pme.agent.exe,pendo-static*.storage.googleapis.com
N-Able,pme.agent.exe,us.prd.relay.system-monitor.com
N-Able,pme.agent.exe,eu-w.prd.relay.system-monitor.com
N-Able,pme.agent.exe,eu-c.prd.relay.system-monitor.com
N-Able,pme.agent.exe,ap.prd.relay.system-monitor.com
N-Able,pme.agent.exe,stream.launchdarkly.com
N-Able,pme.agent.exe,sdk.launchdarkly.com
N-Able,pme.agent.exe,app.launchdarkly.com
N-Able,pme.agent.exe,events.launchdarkly.com
Ngrok,ngrok*,
NinjaRMM,ninjarmm*.exe,*.ninjarmm.com
NinjaRMM,ninjarmm*.exe,*.ninjarmm.net
NinjaRMM,ninjarmm*.exe,*.rmmservice.com
NinjaRMM,ninjarmm*.exe,ninjauploads.s3.amazonaws.com
NinjaRMM,ninjarmm*.exe,ninjaresources.s3.amazonaws.com
NinjaRMM,ninjarmm*.exe,ninjabuilds.s3.amazonaws.com
NinjaRMM,ninjarmm*.exe,s3-us-west-2.amazonaws.com
NinjaRMM,ninjarmm*.exe,sentry.io
Pulseway,pcmonitor*.exe,ws*.pulseway.com
MS QuickAssist,quickassist.exe,remoteassistance.support.services.microsoft.com
MS QuickAssist,quickassist.exe,relay.support.services.microsoft.com
MS QuickAssist,quickassist.exe,channelwebsdks.azureedge.net
MS QuickAssist,quickassist.exe,web.vortex.data.microsoft.com
MS QuickAssist,quickassist.exe,gateway.channelservices.microsoft.com
MS QuickAssist,quickassist.exe,*.lync.com
MS QuickAssist,quickassist.exe,rdprelayv3*.support.services.microsoft.com
Rsocx,rsocx*,
RustDesk,rustdesk*.exe,
RustDesk,rustdesk*,
RustScan,rustscan*,
ScreenConnect,screenconnect*.exe,
ScreenConnect,connectwisecontrol*,
Splashtop,streamer.exe,*.api.splashtop.com
Splashtop,streamer.exe,*.relay.splashtop.com
Splashtop,streamer.exe,update.splashtop.com
Splashtop,streamer.exe,update-g3.splashtop.com
Splashtop,streamer.exe,*.api.splashtop.eu
Splashtop,streamer.exe,*.api.splashtop.nr
Splashtop,splashtopsos*.exe,*.api.splashtop.com
Splashtop,splashtopsos*.exe,*.relay.splashtop.com
Splashtop,splashtopsos*.exe,update.splashtop.com
Splashtop,splashtopsos*.exe,update-g3.splashtop.com
Splashtop,splashtopsos*.exe,*.api.splashtop.eu
Splashtop,splashtopsos*.exe,*.api.splashtop.nr
Splashtop,sragent*.exe,*.api.splashtop.com
Splashtop,sragent*.exe,*.relay.splashtop.com
Splashtop,sragent*.exe,update.splashtop.com
Splashtop,sragent*.exe,update-g3.splashtop.com
Splashtop,sragent*.exe,*.api.splashtop.eu
Splashtop,sragent*.exe,*.api.splashtop.nr
Splashtop,splashtopstreamer,*.api.splashtop.com
Splashtop,splashtopstreamer,*.relay.splashtop.com
Splashtop,splashtopstreamer,update.splashtop.com
Splashtop,splashtopstreamer,update-g3.splashtop.com
Splashtop,splashtopstreamer,*.api.splashtop.eu
Splashtop,splashtopstreamer,*.api.splashtop.nr
Splashtop,splashtop*sos*,*.api.splashtop.com
Splashtop,splashtop*sos*,*.relay.splashtop.com
Splashtop,splashtop*sos*,update.splashtop.com
Splashtop,splashtop*sos*,update-g3.splashtop.com
Splashtop,splashtop*sos*,*.api.splashtop.eu
Splashtop,splashtop*sos*,*.api.splashtop.nr
Supremo,supremo*.exe,*.nanosystems.com
Supremo,supremo*.exe,*.nanosystems.it
Supremo,supremo*.exe,*.supremocontrol.com
Supremo,supremo*.exe,*www.supremocontrol.com
Supremo,supremo*.dmg,*.nanosystems.com
Supremo,supremo*.dmg,*.nanosystems.it
Supremo,supremo*.dmg,*.supremocontrol.com
Supremo,supremo*.dmg,*www.supremocontrol.com
Tailscale,tailscale*.exe,
Tailscale,tailscale*,
Teamviewer,teamviewer*.exe,master*.teamviewer.com
Teamviewer,teamviewer*.exe,router*.teamviewer.com
Teamviewer,teamviewer*.exe,*.teamviewer.com
Teamviewer,teamviewer*.exe,configdl.teamviewer.com
Teamviewer,teamviewer*.exe,webapi.teamviewer.com
Teamviewer,tv_*.exe,master*.teamviewer.com
Teamviewer,tv_*.exe,router*.teamviewer.com
Teamviewer,tv_*.exe,*.teamviewer.com
Teamviewer,tv_*.exe,configdl.teamviewer.com
Teamviewer,tv_*.exe,webapi.teamviewer.com
TightVNC,vncserver,
TightVNC,vncviewer,
Xeox,xeox*.exe,
ZeroTier,zerotier*,
ZohoAssist,za_connect.exe,*.zoho.com
ZohoAssist,za_connect.exe,*.zoho.eu
ZohoAssist,za_connect.exe,*.zoho.in
ZohoAssist,za_connect.exe,*.zoho.com.au
ZohoAssist,za_connect.exe,*.zoho.com.cn
ZohoAssist,za_connect.exe,*.zoho.jp
ZohoAssist,za_connect.exe,*.zoho.uk
ZohoAssist,za_connect.exe,*.zoho.sa
ZohoAssist,za_connect.exe,*.zohocloud.ca
ZohoAssist,za_connect.exe,downloads.zohocdn.com.cn
ZohoAssist,za_connect.exe,downloads.zohocdn.com
ZohoAssist,za_connect.exe,*.zohoassist.com
ZohoAssist,za_connect.exe,*.zohoassist.com.cn
ZohoAssist,za_connect.exe,*.zohomeeting.com
ZohoAssist,za_connect.exe,*.zohomeeting.com.cn
ZohoAssist,za_connect.exe,*.zohocdn.com
ZohoAssist,za_connect.exe,*.zohocdn.com.cn
ZohoAssist,za_connect.exe,gateway.zohoassist.com
ZohoAssist,zmagent.exe,*.zoho.com
ZohoAssist,zmagent.exe,*.zoho.eu
ZohoAssist,zmagent.exe,*.zoho.in
ZohoAssist,zmagent.exe,*.zoho.com.au
ZohoAssist,zmagent.exe,*.zoho.com.cn
ZohoAssist,zmagent.exe,*.zoho.jp
ZohoAssist,zmagent.exe,*.zoho.uk
ZohoAssist,zmagent.exe,*.zoho.sa
ZohoAssist,zmagent.exe,*.zohocloud.ca
ZohoAssist,zmagent.exe,downloads.zohocdn.com.cn
ZohoAssist,zmagent.exe,downloads.zohocdn.com
ZohoAssist,zmagent.exe,*.zohoassist.com
ZohoAssist,zmagent.exe,*.zohoassist.com.cn
ZohoAssist,zmagent.exe,*.zohomeeting.com
ZohoAssist,zmagent.exe,*.zohomeeting.com.cn
ZohoAssist,zmagent.exe,*.zohocdn.com
ZohoAssist,zmagent.exe,*.zohocdn.com.cn
ZohoAssist,zmagent.exe,gateway.zohoassist.com
ZohoAssist,zoho*.exe,*.zoho.com
ZohoAssist,zoho*.exe,*.zoho.eu
ZohoAssist,zoho*.exe,*.zoho.in
ZohoAssist,zoho*.exe,*.zoho.com.au
ZohoAssist,zoho*.exe,*.zoho.com.cn
ZohoAssist,zoho*.exe,*.zoho.jp
ZohoAssist,zoho*.exe,*.zoho.uk
ZohoAssist,zoho*.exe,*.zoho.sa
ZohoAssist,zoho*.exe,*.zohocloud.ca
ZohoAssist,zoho*.exe,downloads.zohocdn.com.cn
ZohoAssist,zoho*.exe,downloads.zohocdn.com
ZohoAssist,zoho*.exe,*.zohoassist.com
ZohoAssist,zoho*.exe,*.zohoassist.com.cn
ZohoAssist,zoho*.exe,*.zohomeeting.com
ZohoAssist,zoho*.exe,*.zohomeeting.com.cn
ZohoAssist,zoho*.exe,*.zohocdn.com
ZohoAssist,zoho*.exe,*.zohocdn.com.cn
ZohoAssist,zoho*.exe,gateway.zohoassist.com
Chrome Remote Desktop,chromeremotedesktophost*.exe,instantmessaging-pa.googleapis.com
Chrome Remote Desktop,chromeremotedesktophost*.exe,remotedesktop.google.com
Chrome Remote Desktop,chromeremotedesktophost*.exe,remotedesktop-pa.googleapis.com
Kaseya VSA,kaseya*.exe,license.kaseya.net
Kaseya VSA,kaseya*.exe,vsaupdate.kaseya.net

